code_event,myEvent,onsets,response,rt
1,-6,0.00325468015217,99,99.0
10,T,0.607970389268,T,559.176899478
1,-6,2.65226595222,99,99.0
10,T,3.25315828613,T,448.296356932
1,-6,5.30331724294,99,99.0
10,T,5.90384975489,T,381.917717114
1,-6,7.95424924462,99,99.0
10,T,8.55571989454,T,397.728379667
2,6,10.6052659913,99,99.0
13,L,11.2073760724,L,447.110768815
2,6,13.2562479023,99,99.0
12,L,13.8573761316,L,464.772411302
2,6,15.9072392808,99,99.0
13,L,16.5140933324,L,559.160848512
2,6,18.558487541,99,99.0
13,L,19.1591898587,L,381.633548535
1,-6,21.2093624695,99,99.0
10,T,21.810595982,T,531.294391032
2,6,23.8604002807,99,99.0
11,T,24.4613564034,T,614.906325751
1,-6,26.5114013734,99,99.0
10,T,27.1125724925,T,614.72235767
1,-6,29.1622995679,99,99.0
10,T,29.7635176038,T,448.056515725
2,6,31.8133044982,99,99.0
13,L,32.4150704173,L,380.803069645
2,6,34.4648253782,99,99.0
11,T,35.0655847059,T,498.035737986
1,-6,37.1154716263,99,99.0
10,T,37.7162085603,T,431.742122888
1,-6,39.7664556095,99,99.0
10,T,40.3677988922,T,464.492871251
1,-6,42.417466648,99,99.0
10,T,43.0182568656,T,365.000166414
2,6,45.0686243105,99,99.0
11,T,45.6695036701,T,431.461791861
1,-6,47.7195668565,99,99.0
11,T,48.3205166214,T,514.835163558
2,6,50.3705733085,99,99.0
11,T,50.9710824914,T,398.556398432
2,6,53.0214239937,99,99.0
13,L,53.6228862859,L,514.48025283
1,-6,55.6724195497,99,99.0
10,T,56.2735685758,T,398.233583626
2,6,58.3235651342,99,99.0
11,T,58.9250419464,T,397.647021084
1,-6,60.9744740684,99,99.0
10,T,61.5756298493,L,631.499281208
1,-6,63.6255837706,99,99.0
13,L,64.2270628234,L,447.675921045
2,6,66.2766101112,99,99.0
13,L,66.8778949915,L,547.883090894
2,6,68.9276524967,99,99.0
11,T,69.5285319285,T,364.84784614
1,-6,71.5787102896,99,99.0
13,L,72.1809393319,L,413.488766029
1,-6,74.2295026897,99,99.0
12,L,74.8312202725,L,597.600869165
1,-6,76.8806899099,99,99.0
12,L,77.4819042195,L,547.935267816
1,-6,79.5316726629,99,99.0
12,L,80.1331044531,L,347.651603493
2,6,82.1825774228,99,99.0
12,L,82.7835665557,L,798.384504418
2,6,84.8337107728,99,99.0
12,L,85.4349727572,L,597.916745697
1,-6,87.4847497178,99,99.0
10,T,88.086267477,T,497.597173962
1,-6,90.1356335305,99,99.0
10,T,90.7369394362,T,397.887298372
1,-6,92.7867709858,99,99.0
10,T,93.3876379455,T,464.901441592
1,-6,95.4377356969,99,99.0
10,T,96.0389335736,T,364.592606591
2,6,98.0887343956,99,99.0
13,L,98.6898257471,L,481.415775281
2,6,100.739867415,99,99.0
11,T,101.340652487,T,398.221661937
2,6,103.390760139,99,99.0
11,T,103.991882675,T,381.337241732
1,-6,106.041666078,99,99.0
10,T,106.642793528,T,431.477656362
1,-6,108.692851833,99,99.0
12,L,109.29387533,L,531.422756663
1,-6,111.343926023,99,99.0
12,L,111.944622512,L,465.007693154
2,6,113.994698441,99,99.0
10,T,114.595625024,T,681.749207524
2,6,116.645871643,99,99.0
13,L,117.246812278,L,481.520902045
1,-6,119.296956191,99,99.0
12,L,119.897906596,T,548.127151607
2,6,121.947955726,99,99.0
11,T,122.549410174,T,531.032276369
2,6,124.598954112,99,99.0
11,T,125.201082978,T,596.971131119
1,-6,127.249806989,99,99.0
10,T,127.85101631,T,814.824769677
1,-6,129.901002098,99,99.0
12,L,130.502726559,L,547.343511345
2,6,132.552009428,99,99.0
13,L,133.15332522,L,531.102008001
1,-6,135.202899172,99,99.0
10,T,135.804715421,T,414.002929294
2,6,137.854074849,99,99.0
12,L,138.455008632,L,581.454742311
1,-6,140.505034818,99,99.0
10,T,141.106845591,T,480.605085664
1,-6,143.155842902,99,99.0
10,T,143.757482946,T,430.949099256
1,-6,145.80704192,99,99.0
11,T,146.408477915,T,1297.96465399
2,6,148.458040129,99,99.0
11,T,149.059073773,T,398.031958579
2,6,151.109049384,99,99.0
13,L,151.71048817,L,514.338052752
2,6,153.760089237,99,99.0
13,L,154.361449187,L,431.035543505
1,-6,156.411118483,99,99.0
12,L,157.01208103,L,448.091375525
1,-6,159.061951644,99,99.0
10,T,159.663311552,T,481.218550191
1,-6,161.71319083,99,99.0
12,L,162.313761239,L,498.456458583
1,-6,164.364144525,99,99.0
12,L,164.965537031,L,631.07829295
2,6,167.014915776,99,99.0
13,L,167.616170582,L,464.721205804
2,6,169.666160232,99,99.0
11,T,170.266924014,T,498.324038854
2,6,172.31713383,99,99.0
13,L,172.918375917,L,447.871182241
2,6,174.967974308,99,99.0
12,L,175.568755741,L,431.822431856
1,-6,177.619239759,99,99.0
10,T,178.22052623,T,447.792271756
2,6,180.270547498,99,99.0
10,T,180.87247319,T,530.171211314
2,6,182.921249015,99,99.0
11,T,183.522288993,T,548.046677228
1,-6,185.572028405,99,99.0
10,T,186.214378516,T,423.662360277
2,6,188.256440621,99,99.0
13,L,188.857665138,L,464.683958056
2,6,190.907414866,99,99.0
10,T,191.508711304,T,497.980622753
2,6,193.558445537,99,99.0
10,T,194.159884831,L,664.566062496
1,-6,196.209423557,99,99.0
10,T,196.811205843,T,480.841976521
