code_event,myEvent,onsets,response,rt
1,-6,0.00347533658714,99,99.0
12,L,0.607865839942,L,575.956671109
2,6,2.65226987699,99,99.0
11,T,3.25378957303,T,414.303825528
1,-6,5.30331635573,99,99.0
10,T,5.9037389951,T,582.092588545
1,-6,7.95419565117,99,99.0
12,L,8.55780340147,L,479.003086686
2,6,10.6054452256,99,99.0
13,L,11.2061881595,L,498.301756372
1,-6,13.2562456737,99,99.0
12,L,13.8572514591,L,531.630697438
2,6,15.9073858357,99,99.0
11,T,16.5137640184,T,392.699921806
1,-6,18.5582583072,99,99.0
13,L,19.1595892442,L,631.32810398
1,-6,21.2092129432,99,99.0
11,T,21.8104468948,T,431.389386573
1,-6,23.860171501,99,99.0
12,L,24.4614628084,L,381.380708968
2,6,26.511202807,99,99.0
13,L,27.1125236689,L,548.044099811
1,-6,29.1622890838,99,99.0
10,T,29.7637205492,T,431.180080399
1,-6,31.8132605227,99,99.0
13,L,32.4146219106,L,431.273195256
1,-6,34.4643044992,99,99.0
10,T,35.0661024782,T,480.812644484
2,6,37.1155077884,99,99.0
13,L,37.7160401831,L,448.546408556
1,-6,39.7665300809,99,99.0
10,T,40.3682503343,T,480.703475652
2,6,42.4175589839,99,99.0
13,L,43.018434945,L,481.546468705
1,-6,45.0685264108,99,99.0
13,L,45.6692228459,L,465.114431936
1,-6,47.7194953955,99,99.0
11,T,48.320423311,T,514.903920761
1,-6,50.3705532997,99,99.0
12,L,50.9709918036,L,532.024200256
1,-6,53.021590783,99,99.0
12,L,53.6226150314,L,464.708986376
1,-6,55.6725280689,99,99.0
10,T,56.2739036762,T,447.770560695
1,-6,58.3234316528,99,99.0
11,T,58.924333752,T,498.456025503
2,6,60.9744567663,99,99.0
11,T,61.5759908803,T,414.385415686
1,-6,63.6256825455,99,99.0
11,T,64.2265703772,T,431.467584283
1,-6,66.2766620716,99,99.0
11,T,66.8777241391,T,431.323188739
1,-6,68.9274258464,99,99.0
10,T,69.5297973895,T,546.990459243
1,-6,71.5786037343,99,99.0
10,T,72.1795782208,T,564.873416806
1,-6,74.2296485529,99,99.0
12,L,74.8313138475,L,464.104357849
1,-6,76.8805865244,99,99.0
11,T,77.4814930958,T,564.993689284
2,6,79.5317447645,99,99.0
10,T,80.1334137432,L,597.422254414
2,6,82.1826937705,99,99.0
13,L,82.7834426352,L,498.360817433
2,6,84.8342860693,99,99.0
11,T,85.4351014897,T,381.015121653
1,-6,87.4845722008,99,99.0
12,L,88.0853493178,L,548.501421541
2,6,90.1358001123,99,99.0
12,L,90.7373013604,L,480.876439335
1,-6,92.7866268849,99,99.0
13,L,93.3876552806,L,514.877737569
2,6,95.4378407906,99,99.0
11,T,96.0400659231,T,546.830048821
1,-6,98.0885816784,99,99.0
12,L,98.6898880021,L,614.713861516
1,-6,100.739823301,99,99.0
10,T,101.340596202,T,564.986802136
1,-6,103.390682043,99,99.0
10,T,103.99187103,T,481.370732123
2,6,106.04199534,99,99.0
11,T,106.642942723,T,431.295336388
2,6,108.692662439,99,99.0
13,L,109.29395639,L,497.979958094
2,6,111.34385667,99,99.0
13,L,111.944547977,L,431.704959348
2,6,113.994918686,99,99.0
11,T,114.596000708,T,531.310195383
2,6,116.645918422,99,99.0
13,L,117.247400019,L,464.271808807
2,6,119.296987628,99,99.0
13,L,119.8976013,T,348.302024042
1,-6,121.947723364,99,99.0
12,L,122.549542008,L,314.059979351
2,6,124.598714418,99,99.0
11,T,125.201516651,T,629.881556073
2,6,127.249861049,99,99.0
11,T,127.850770874,T,431.623263928
2,6,129.900807183,99,99.0
11,T,130.502436824,T,364.265512122
1,-6,132.551976121,99,99.0
12,L,133.153118341,L,481.294784015
2,6,135.202930561,99,99.0
13,L,135.804798843,L,397.224730579
1,-6,137.853771255,99,99.0
10,T,138.457444244,T,462.28458963
2,6,140.504777876,99,99.0
13,L,141.106839518,L,413.929985662
2,6,143.155808319,99,99.0
11,T,143.756944704,T,531.507206946
1,-6,145.806906601,99,99.0
10,T,146.408597535,T,864.339322914
2,6,148.457816841,99,99.0
11,T,149.059173624,T,431.250506765
1,-6,151.108824379,99,99.0
12,L,151.710698213,L,530.776552616
1,-6,153.759847279,99,99.0
10,T,154.361230871,T,581.29213642
1,-6,156.410912308,99,99.0
13,L,157.012150909,L,431.327841325
1,-6,159.062146063,99,99.0
10,T,159.6631206,T,448.035267818
2,6,161.713052305,99,99.0
12,L,162.313955412,L,715.034714442
1,-6,164.363901974,99,99.0
10,T,164.965263678,T,497.961281591
1,-6,167.01488818,99,99.0
13,L,167.616370592,L,464.55428116
1,-6,169.665976935,99,99.0
11,T,170.266904101,T,415.055589416
1,-6,172.316983663,99,99.0
13,L,172.918517386,L,497.740267267
1,-6,174.968144144,99,99.0
10,T,175.568878476,T,498.380290923
2,6,177.619204767,99,99.0
13,L,178.220217779,L,481.376765147
2,6,180.270001194,99,99.0
13,L,180.872671158,L,529.949520303
1,-6,182.921070515,99,99.0
12,L,183.522243098,L,498.09898547
2,6,185.572082934,99,99.0
11,T,186.214706846,T,489.936721435
2,6,188.256454654,99,99.0
10,T,188.857747564,L,614.672156669
1,-6,190.907611026,99,99.0
12,L,191.508699569,L,481.310068069
1,-6,193.558405273,99,99.0
13,L,194.159899439,L,564.465342704
1,-6,196.209395807,99,99.0
10,T,196.810879422,T,1264.78701667
