code_event,myEvent,onsets,response,rt
1,-6,0.00344740002402,99,99.0
12,L,0.607855776885,L,442.572877462
2,6,2.6524854628,99,99.0
13,L,3.25291520285,L,665.271213322
2,6,5.30321591463,99,99.0
10,T,5.90493881465,T,747.638231194
2,6,7.95431351465,99,99.0
11,T,8.55538960913,T,431.406559332
1,-6,10.6053941885,99,99.0
13,L,11.20665943,L,481.156761336
1,-6,13.2561818157,99,99.0
12,L,13.8579392567,L,680.976403244
1,-6,15.9072340598,99,99.0
12,L,16.5138801105,L,409.28153001
1,-6,18.5582406201,99,99.0
13,L,19.1592518762,T,665.005453578
2,6,21.2092629066,99,99.0
11,T,21.8105225782,T,398.121082493
2,6,23.86030682,99,99.0
11,T,24.4615002426,T,381.343392044
1,-6,26.5112540215,99,99.0
13,L,27.1124887279,L,731.563832942
2,6,29.1622476226,99,99.0
11,T,29.7635003529,T,531.478683923
1,-6,31.8133186304,99,99.0
10,T,32.4141522611,T,631.829653837
2,6,34.4644130575,99,99.0
13,L,35.0660827551,L,547.557235517
1,-6,37.1154717918,99,99.0
10,T,37.7160284388,T,615.349960401
1,-6,39.7663623713,99,99.0
12,L,40.3678071358,T,1081.37355615
2,6,42.417355022,99,99.0
10,T,43.0183333009,L,1715.43403274
1,-6,45.0683901505,99,99.0
12,L,45.6693047368,T,581.722159175
2,6,47.7194413149,99,99.0
11,T,48.3206466712,L,531.36037834
2,6,50.370548593,99,99.0
11,T,50.9711137573,T,448.541743943
1,-6,53.0214209652,99,99.0
10,T,53.6235738519,T,547.151143346
1,-6,55.6724215286,99,99.0
10,T,56.2736824844,T,514.695444657
2,6,58.3235291917,99,99.0
13,L,58.9243121613,L,465.054949826
1,-6,60.9744453619,99,99.0
10,T,61.575893964,T,514.507022486
1,-6,63.62544216,99,99.0
12,L,64.226328524,L,398.359913186
2,6,66.2764884613,99,99.0
11,T,66.8775963028,T,464.832657315
2,6,68.9274737256,99,99.0
13,L,69.5300696334,L,446.669275494
1,-6,71.5785300538,99,99.0
12,L,72.1796156971,L,514.844435646
1,-6,74.2295045152,99,99.0
12,L,74.8311989915,L,447.565498092
2,6,76.8805596134,99,99.0
11,T,77.4818153181,T,431.300440097
1,-6,79.5315544716,99,99.0
12,L,80.1332611162,L,514.247112311
1,-6,82.1826774849,99,99.0
12,L,82.7839813425,L,481.168968734
1,-6,84.8335754599,99,99.0
12,L,85.4353712223,L,480.808202425
1,-6,87.4845981554,99,99.0
12,L,88.0855683532,L,348.284631731
1,-6,90.1356216238,99,99.0
12,L,90.737282735,L,497.574082467
2,6,92.7866150294,99,99.0
13,L,93.3877045403,L,514.821635872
2,6,95.4376009012,99,99.0
13,L,96.0394752885,L,880.893436657
2,6,98.0886127337,99,99.0
11,T,98.6901880202,T,431.031540535
2,6,100.739682075,99,99.0
11,T,101.340778106,T,414.770732121
2,6,103.390640832,99,99.0
12,L,103.991929282,L,414.624577199
2,6,106.0416863,99,99.0
13,L,106.642388338,L,565.250913776
1,-6,108.692689787,99,99.0
10,T,109.293872133,T,481.39909274
2,6,111.343708154,99,99.0
13,L,111.944853099,L,381.403033552
2,6,113.994702643,99,99.0
13,L,114.595908793,L,381.362706139
2,6,116.645966451,99,99.0
10,T,117.247009614,L,614.759557298
1,-6,119.296940543,99,99.0
12,L,119.897498465,L,365.126953115
2,6,121.94792535,99,99.0
13,L,122.54948836,L,397.488709888
1,-6,124.598783052,99,99.0
10,T,125.20188946,T,446.136937975
1,-6,127.249770782,99,99.0
10,T,127.852268078,T,430.077793706
2,6,129.900770395,99,99.0
11,T,130.502946782,T,597.136555025
2,6,132.551987266,99,99.0
11,T,133.152999241,T,348.013644976
2,6,135.202804511,99,99.0
13,L,135.804704432,L,380.890037195
2,6,137.853821754,99,99.0
10,T,138.455170772,T,1248.22277671
1,-6,140.504798676,99,99.0
10,T,141.106959713,T,563.831731008
1,-6,143.155847007,99,99.0
10,T,143.764987213,T,573.485378594
1,-6,145.807009163,99,99.0
12,L,146.408958894,L,413.807192912
1,-6,148.457840305,99,99.0
10,T,149.059325439,T,414.445884253
1,-6,151.108900465,99,99.0
12,L,151.710694237,L,397.418045934
2,6,153.7598565,99,99.0
13,L,154.361510889,L,564.349148379
2,6,156.410905808,99,99.0
13,L,157.012168737,T,514.687405641
1,-6,159.061895271,99,99.0
12,L,159.6633915,L,414.424401759
2,6,161.712875865,99,99.0
12,L,162.313998711,L,1048.41613016
2,6,164.363874185,99,99.0
11,T,164.965492908,T,464.381651313
2,6,167.01503121,99,99.0
11,T,167.616301654,T,464.589447725
2,6,169.666139522,99,99.0
13,L,170.266836355,L,481.744647168
2,6,172.316966091,99,99.0
12,L,172.91829144,T,798.078516505
2,6,174.968206634,99,99.0
11,T,175.569095253,T,431.491734416
2,6,177.619262526,99,99.0
13,L,178.220290828,T,781.424815792
2,6,180.270224702,99,99.0
11,T,180.872473551,T,530.167644432
1,-6,182.921355483,99,99.0
10,T,183.522299263,L,381.274352138
2,6,185.572334056,99,99.0
12,L,186.216115927,T,822.007834508
2,6,188.256781309,99,99.0
13,L,188.857953343,L,431.028557105
2,6,190.907443172,99,99.0
12,L,191.508638075,L,531.396227605
1,-6,193.55864491,99,99.0
12,L,194.160052995,L,414.324898997
2,6,196.209637801,99,99.0
10,T,196.810854261,T,764.733193653
