code_event,myEvent,onsets,response,rt
1,-6,0.00340473579126,99,99.0
12,L,0.60786267907,L,25.7341089309
2,6,2.65233723271,99,99.0
13,L,3.25310064761,T,598.387285339
2,6,5.3031908833,99,99.0
10,T,5.90506898778,L,647.447446139
2,6,7.95413935399,99,99.0
11,T,8.55561763391,T,948.020150172
1,-6,10.6051885184,99,99.0
13,L,11.2065170043,L,648.074883462
1,-6,13.2563324277,99,99.0
12,L,13.8567119247,L,782.214913135
1,-6,15.9074250744,99,99.0
12,L,16.5141917224,L,609.03246584
1,-6,18.5583059187,99,99.0
13,L,19.1591779671,L,665.079314495
2,6,21.2093567704,99,99.0
11,T,21.8108576335,T,430.963526182
2,6,23.8603542391,99,99.0
11,T,24.4609646239,T,581.943717858
1,-6,26.5113581438,99,99.0
13,L,27.1128360718,L,731.144002566
2,6,29.1623470953,99,99.0
11,T,29.7631825666,T,531.727499474
1,-6,31.8134439404,99,99.0
10,T,32.4147989313,T,731.199235095
2,6,34.4644725998,99,99.0
13,L,35.065443366,L,564.832939021
1,-6,37.1152926026,99,99.0
10,T,37.7164028621,T,598.243677756
1,-6,39.7664801265,99,99.0
12,L,40.3676597448,L,698.033549539
2,6,42.4173399154,99,99.0
10,T,43.0184098986,T,548.237809144
1,-6,45.0683654379,99,99.0
12,L,45.6690715572,L,548.597023586
2,6,47.719375117,99,99.0
11,T,48.320673098,T,381.281503946
2,6,50.3703938637,99,99.0
11,T,50.9710137432,T,498.727655864
1,-6,53.0213699823,99,99.0
10,T,53.6227096019,T,481.27873004
1,-6,55.6724265902,99,99.0
10,T,56.2738345911,T,464.50812824
2,6,58.3234305761,99,99.0
13,L,58.9240218725,L,498.694236649
1,-6,60.9744270975,99,99.0
10,T,61.5760880883,T,447.591918877
1,-6,63.6255760744,99,99.0
12,L,64.2261779932,L,398.61079488
2,6,66.2764514662,99,99.0
11,T,66.877902423,T,481.149949374
2,6,68.9274879299,99,99.0
13,L,69.5294894979,L,447.233453298
1,-6,71.5784593748,99,99.0
12,L,72.1803129713,L,530.774531584
1,-6,74.229460633,99,99.0
12,L,74.8319118986,L,463.510992373
2,6,76.8805029945,99,99.0
11,T,77.4818805205,L,481.222138125
1,-6,79.5315551453,99,99.0
12,L,80.1328945544,L,381.192491302
1,-6,82.1825789295,99,99.0
12,L,82.7836991529,L,364.723360166
1,-6,84.8335419084,99,99.0
12,L,85.435013656,L,364.420689519
1,-6,87.4845381019,99,99.0
12,L,88.085773882,L,364.676070414
1,-6,90.1355589297,99,99.0
12,L,90.7371792203,L,380.952701227
2,6,92.7865345701,99,99.0
13,L,93.3877274183,L,531.471986247
2,6,95.4376404798,99,99.0
13,L,96.0390576475,L,497.777403736
2,6,98.088589149,99,99.0
11,T,98.689928907,T,497.976878429
2,6,100.739638725,99,99.0
11,T,101.340860491,T,414.666086555
2,6,103.390620122,99,99.0
12,L,103.99209648,L,1848.30926306
2,6,106.041906656,99,99.0
13,L,106.642382218,L,581.899856643
1,-6,108.692816068,99,99.0
10,T,109.294173645,T,514.432102937
2,6,111.343849618,99,99.0
13,L,111.945041651,L,564.578294954
2,6,113.99483219,99,99.0
13,L,114.59535392,L,565.284320961
2,6,116.645871376,99,99.0
10,T,117.246942785,L,681.428861866
1,-6,119.296852132,99,99.0
12,L,119.897590206,L,348.32459825
2,6,121.947968562,99,99.0
13,L,122.549028166,L,464.658644025
1,-6,124.598770682,99,99.0
10,T,125.201078764,T,513.600866158
1,-6,127.249906303,99,99.0
10,T,127.850996042,T,414.639731935
2,6,129.900943594,99,99.0
11,T,130.502391543,T,697.719811331
2,6,132.551935053,99,99.0
11,T,133.153528451,T,580.883824721
2,6,135.202987797,99,99.0
13,L,135.804223748,L,514.500093232
2,6,137.854022591,99,99.0
10,T,138.455096881,T,547.989035698
1,-6,140.504733663,99,99.0
10,T,141.106340594,T,531.066113621
1,-6,143.155774436,99,99.0
10,T,143.756941664,T,414.793474753
1,-6,145.806799291,99,99.0
12,L,146.408590254,L,664.240814629
1,-6,148.457864889,99,99.0
10,T,149.05886637,T,514.967312607
1,-6,151.108846953,99,99.0
12,L,151.71020859,L,564.606938275
2,6,153.759854653,99,99.0
13,L,154.361274076,L,664.587424686
2,6,156.410857385,99,99.0
13,L,157.012067403,L,481.395976982
1,-6,159.061832243,99,99.0
12,L,159.663568728,L,480.924968168
2,6,161.712861573,99,99.0
12,L,162.313889966,L,464.92661427
2,6,164.363891788,99,99.0
11,T,164.965538646,T,447.667957214
2,6,167.01489842,99,99.0
11,T,167.616167935,T,364.640485812
2,6,169.666082431,99,99.0
13,L,170.266717366,L,565.195464707
2,6,172.316971751,99,99.0
12,L,172.918290252,L,497.97548596
2,6,174.968187395,99,99.0
11,T,175.568839809,T,398.367699574
2,6,177.619164842,99,99.0
13,L,178.220864272,L,514.052714258
2,6,180.270218211,99,99.0
11,T,180.872440827,T,513.501667152
1,-6,182.921232128,99,99.0
10,T,183.522227947,L,698.124868926
2,6,185.572223837,99,99.0
12,L,186.215104331,L,539.553024031
2,6,188.256570205,99,99.0
13,L,188.857912579,L,664.459236497
2,6,190.907553376,99,99.0
12,L,191.508685999,L,497.972860419
1,-6,193.558563708,99,99.0
12,L,194.16010436,L,330.821778225
2,6,196.209634598,99,99.0
10,T,196.811408818,T,513.943936399
