code_event,myEvent,onsets,response,rt
2,6,0.00339656579308,99,99.0
11,T,0.607815883472,l,1192.87491101
2,6,2.65211351297,99,99.0
11,T,3.25290273177,t,665.264800307
2,6,5.30327776354,99,99.0
13,L,5.90484308067,l,664.302921621
1,-6,7.95428035955,99,99.0
12,L,8.5548397688,l,798.654592596
1,-6,10.6050815245,99,99.0
12,L,11.206076388,l,581.696957466
2,6,13.2561574186,99,99.0
11,T,13.8569581321,t,1198.69444985
1,-6,15.907135946,99,99.0
12,L,16.5137438587,l,792.753241491
1,-6,18.5581201334,99,99.0
12,L,19.1591830259,l,815.007242607
1,-6,21.2091480343,99,99.0
12,L,21.8102451458,l,648.191380315
1,-6,23.8605204679,99,99.0
10,T,24.4610958978,t,598.313621129
1,-6,26.511182417,99,99.0
12,L,27.1123786637,l,547.994882916
1,-6,29.1621114084,99,99.0
13,L,29.7635659965,0,0.0
2,6,31.8130750698,99,99.0
11,T,32.4137712978,l,848.712471896
1,-6,34.4641237584,99,99.0
12,L,35.0651255752,l,865.032331669
1,-6,37.1150818048,99,99.0
12,L,37.7159588599,l,648.540093214
1,-6,39.7660987827,99,99.0
10,T,40.3676563586,t,664.415825042
1,-6,42.4170587239,99,99.0
12,L,43.0179744579,l,815.179531462
2,6,45.0680398857,99,99.0
11,T,45.6691688163,t,1331.80000633
2,6,47.7190597719,99,99.0
11,T,48.3201984646,t,781.605635304
1,-6,50.3705553972,99,99.0
10,T,50.9707383977,t,865.379204042
2,6,53.021180911,99,99.0
11,T,53.6221013698,t,764.944695635
2,6,55.6721885356,99,99.0
13,L,56.2731239354,l,681.578208925
1,-6,58.323258896,99,99.0
12,L,58.9237065627,l,648.62638351
1,-6,60.9741655238,99,99.0
13,L,61.5748706659,0,0.0
1,-6,63.6251362497,99,99.0
12,L,64.2256752442,l,665.322853369
1,-6,66.276014893,99,99.0
12,L,66.8773124312,l,614.652677439
2,6,68.9271450749,99,99.0
13,L,69.5295156479,l,713.495332748
2,6,71.5780053576,99,99.0
10,T,72.1788077493,t,1465.47277132
2,6,74.229000811,99,99.0
11,T,74.8305800108,t,747.801177553
2,6,76.8799283738,99,99.0
11,T,77.4823464798,t,480.277364841
2,6,79.5309748068,99,99.0
12,L,80.1325286987,l,647.804637789
2,6,82.1819782029,99,99.0
13,L,82.7828672006,t,1798.84671699
1,-6,84.8330397635,99,99.0
10,T,85.43436402,t,681.259711972
2,6,87.4839288727,99,99.0
10,T,88.0849313543,l,965.187758906
2,6,90.1350392415,99,99.0
11,T,90.73631881,l,1781.6864053
2,6,92.7859717335,99,99.0
13,L,93.3870026746,l,998.40413034
2,6,95.4369061443,99,99.0
12,L,96.0384600903,t,1264.74398689
2,6,98.0879014021,99,99.0
12,L,98.689533777,0,0.0
1,-6,100.738902946,99,99.0
12,L,101.339837344,l,1298.63276496
1,-6,103.389941177,99,99.0
12,L,103.991028054,l,1165.06028699
2,6,106.040890749,99,99.0
13,L,106.641528587,l,765.403593192
1,-6,108.691891865,99,99.0
10,T,109.293147861,t,681.460983702
2,6,111.342861641,99,99.0
11,T,111.943867073,t,581.650073989
1,-6,113.994043091,99,99.0
12,L,114.594616629,l,681.931520347
1,-6,116.644882135,99,99.0
10,T,117.245969556,t,764.919438981
1,-6,119.295990802,99,99.0
10,T,119.896622664,t,815.319282585
2,6,121.947024068,99,99.0
11,T,122.548207416,t,681.312956149
2,6,124.598069517,99,99.0
13,L,125.200091633,l,963.871170417
2,6,127.249013266,99,99.0
11,T,127.849845913,t,915.074767778
2,6,129.899990031,99,99.0
13,L,130.501571378,l,847.659903113
1,-6,132.551000925,99,99.0
12,L,133.15189475,l,664.929774241
2,6,135.202028116,99,99.0
13,L,135.803373939,l,631.101133418
2,6,137.853051196,99,99.0
13,L,138.454085403,l,631.381080719
1,-6,140.504010325,99,99.0
12,L,141.105596632,l,630.900493241
2,6,143.155100544,99,99.0
13,L,143.756024979,l,364.653495257
2,6,145.80595028,99,99.0
13,L,146.407451841,l,564.305795473
1,-6,148.457005082,99,99.0
12,L,149.057889253,l,748.256788007
1,-6,151.108004045,99,99.0
10,T,151.709417109,t,681.025950471
2,6,153.759018861,99,99.0
13,L,154.360519385,l,597.558502923
1,-6,156.40995184,99,99.0
13,L,157.010864452,l,1198.43274599
1,-6,159.060930981,99,99.0
10,T,159.662708911,t,680.71369105
2,6,161.711932422,99,99.0
11,T,162.312637838,t,481.705178623
1,-6,164.363028975,99,99.0
10,T,164.964218785,t,481.109389919
1,-6,167.013991758,99,99.0
12,L,167.615082406,l,564.617775148
2,6,169.665196754,99,99.0
13,L,170.26580467,l,1265.14617866
1,-6,172.315903292,99,99.0
13,L,172.917128645,l,814.650211018
1,-6,174.966705007,99,99.0
12,L,175.567455068,l,781.971295364
1,-6,177.617781833,99,99.0
12,L,178.219081287,l,614.622217836
2,6,180.268737218,99,99.0
12,L,180.871342659,0,0.0
2,6,182.919695108,99,99.0
11,T,183.5210052,t,1081.5213219
1,-6,185.570691512,99,99.0
12,L,186.213030933,l,773.711171816
1,-6,188.255341844,99,99.0
10,T,188.856611629,l,781.117291655
2,6,190.905996828,99,99.0
13,L,191.507230586,l,998.245338909
2,6,193.556981989,99,99.0
11,T,194.158724443,t,680.956288474
1,-6,196.208010128,99,99.0
13,L,196.809244536,l,1431.70941365
2,6,198.858969489,99,99.0
11,T,199.460151005,t,598.155981628
1,-6,201.510021585,99,99.0
12,L,202.111427711,t,1031.3884333
1,-6,204.160955042,99,99.0
12,L,204.762326838,l,647.980583832
