code_event,myEvent,onsets,response,rt
7,6,0.00795923836995,99,99.0
53,10,0.788398802979,99,99.0
22,1,1.5722185066,99,99.0
55,99,2.35569439339,99,99.0
38,7,3.13929553516,TRUE,545.367877232
5,4,5.52369645052,99,99.0
51,-10,6.30726509367,99,99.0
24,3,7.09075491701,99,99.0
55,99,7.87339783425,99,99.0
42,1,9.05730264855,TRUE,629.624622758
7,6,11.4414192858,99,99.0
54,99,12.2250693983,99,99.0
54,99,13.0086053503,99,99.0
55,99,13.7922291383,99,99.0
37,6,14.5765173273,TRUE,729.162746109
4,3,16.9600807257,99,99.0
51,-10,17.7437600347,99,99.0
23,2,18.5284227618,99,99.0
55,99,19.3110239354,99,99.0
34,3,20.0946927663,FALSE,729.774510371
6,5,22.4799824998,99,99.0
53,10,23.2624877472,99,99.0
23,2,24.0461051203,99,99.0
55,99,24.8299977189,99,99.0
38,7,25.613363788,TRUE,479.681807919
4,3,27.9975844477,99,99.0
53,10,28.7812354444,99,99.0
22,1,29.5650821429,99,99.0
55,99,30.3484161344,99,99.0
35,4,31.1320259798,TRUE,696.544187376
5,4,33.51638092,99,99.0
51,-10,34.299887937,99,99.0
23,2,35.0840083002,99,99.0
55,99,35.8672439264,99,99.0
45,4,37.0510929311,FALSE,796.358396416
7,6,39.4353087487,99,99.0
53,10,40.2189220317,99,99.0
21,0,41.0036034081,99,99.0
55,99,41.7860394686,99,99.0
47,6,42.9698897485,TRUE,512.997052749
4,3,45.354107148,99,99.0
53,10,46.1434351235,99,99.0
21,0,46.9214601601,99,99.0
55,99,47.7051329638,99,99.0
45,4,48.888839204,FALSE,596.345461556
6,5,51.273071725,99,99.0
51,-10,52.0566309759,99,99.0
24,3,52.84023102,99,99.0
55,99,53.623781507,99,99.0
37,6,54.4075471002,FALSE,546.298679779
4,3,56.792059361,99,99.0
54,99,57.575573575,99,99.0
54,99,58.3590665442,99,99.0
55,99,59.142704287,99,99.0
44,3,60.3263911259,TRUE,629.708546214
6,5,62.7105880296,99,99.0
54,99,63.4941561584,99,99.0
54,99,64.2779492489,99,99.0
55,99,65.0614967165,99,99.0
36,5,65.8453446302,TRUE,729.790534126
7,6,68.2294509007,99,99.0
53,10,69.0128979097,99,99.0
22,1,69.7965548071,99,99.0
55,99,70.5805035521,99,99.0
38,7,71.3638726587,TRUE,596.3365715
7,6,73.7481442739,99,99.0
54,99,74.5316587946,99,99.0
54,99,75.3152641049,99,99.0
55,99,76.0993173353,99,99.0
37,6,76.8826655851,TRUE,729.649198242
4,3,79.2668453733,99,99.0
51,-10,80.0504567345,99,99.0
21,0,80.8340207401,99,99.0
55,99,81.6176526574,99,99.0
34,3,82.4013246251,TRUE,579.669881496
6,5,84.7854801069,99,99.0
54,99,85.5693160087,99,99.0
54,99,86.3530786486,99,99.0
55,99,87.1364921936,99,99.0
34,3,87.9201749521,FALSE,929.685016745
4,3,90.304323631,99,99.0
53,10,91.0879492476,99,99.0
23,2,91.8715263357,99,99.0
55,99,92.655157471,99,99.0
38,7,93.4387529889,FALSE,696.416709805
7,6,95.8230488593,99,99.0
51,-10,96.6070936267,99,99.0
23,2,97.3902009483,99,99.0
55,99,98.1737911339,99,99.0
42,1,99.3577011842,FALSE,729.706565617
4,3,101.74192877,99,99.0
51,-10,102.52538026,99,99.0
22,1,103.309155366,99,99.0
55,99,104.092708885,99,99.0
34,3,104.876326035,FALSE,479.705100763
6,5,107.260982282,99,99.0
53,10,108.044378723,99,99.0
21,0,108.827922903,99,99.0
55,99,109.611457451,99,99.0
50,9,110.796724134,FALSE,478.257404524
5,4,113.179679287,99,99.0
53,10,113.963167769,99,99.0
23,2,114.746683201,99,99.0
55,99,115.530245995,99,99.0
49,8,116.716127708,FALSE,744.445946417
6,5,119.098500862,99,99.0
51,-10,119.881981008,99,99.0
21,0,120.665654226,99,99.0
55,99,121.449364876,99,99.0
35,4,122.232958439,FALSE,529.584652279
5,4,124.617156452,99,99.0
51,-10,125.400660465,99,99.0
24,3,126.184403298,99,99.0
55,99,126.968408737,99,99.0
42,1,128.151793518,TRUE,679.678189568
4,3,130.536042763,99,99.0
54,99,131.319636492,99,99.0
54,99,132.10348565,99,99.0
55,99,132.887055223,99,99.0
34,3,133.670484668,TRUE,663.065176806
5,4,136.054827139,99,99.0
53,10,136.838469336,99,99.0
24,3,137.622396039,99,99.0
55,99,138.405568428,99,99.0
47,6,139.589564642,FALSE,679.545364692
6,5,141.973660176,99,99.0
51,-10,142.75726003,99,99.0
22,1,143.540902368,99,99.0
55,99,144.324497177,99,99.0
49,8,145.508337812,FALSE,646.378959413
6,5,147.892445559,99,99.0
53,10,148.676430953,99,99.0
24,3,149.459681258,99,99.0
55,99,150.243316974,99,99.0
47,6,151.427203271,FALSE,1079.81744967
5,4,153.811386413,99,99.0
53,10,154.595027488,99,99.0
21,0,155.378634073,99,99.0
55,99,156.162150152,99,99.0
45,4,157.345996546,TRUE,846.486879047
4,3,159.73061039,99,99.0
53,10,160.51381285,99,99.0
24,3,161.297553036,99,99.0
55,99,162.081096982,99,99.0
47,6,163.264978759,FALSE,879.803122371
5,4,165.649143371,99,99.0
51,-10,166.432898026,99,99.0
21,0,167.216701108,99,99.0
55,99,168.000069156,99,99.0
35,4,168.78465598,TRUE,995.490819565
7,6,171.167931344,99,99.0
53,10,171.951525362,99,99.0
23,2,172.735298362,99,99.0
55,99,173.518847201,99,99.0
39,8,174.302426076,TRUE,696.338491631
5,4,176.686670311,99,99.0
53,10,177.470359271,99,99.0
22,1,178.253919255,99,99.0
55,99,179.038027811,99,99.0
48,7,180.221352046,FALSE,596.262852428
7,6,182.605554787,99,99.0
54,99,183.389204163,99,99.0
54,99,184.172734785,99,99.0
55,99,184.956501046,99,99.0
37,6,185.740039118,TRUE,813.051278354
5,4,188.124220043,99,99.0
54,99,188.907822391,99,99.0
54,99,189.691796264,99,99.0
55,99,190.475152366,99,99.0
45,4,191.658950671,TRUE,696.317553637
7,6,194.043125406,99,99.0
51,-10,194.826803227,99,99.0
24,3,195.610392612,99,99.0
55,99,196.39407772,99,99.0
38,7,197.177630168,FALSE,996.498363558
7,6,199.562171595,99,99.0
51,-10,200.34581144,99,99.0
22,1,201.129154324,99,99.0
55,99,201.912787267,99,99.0
36,5,202.696475099,TRUE,679.586924962
6,5,205.080618719,99,99.0
51,-10,205.864382225,99,99.0
23,2,206.647862581,99,99.0
55,99,207.431427185,99,99.0
46,5,208.615327552,FALSE,596.275225165
5,4,210.999759712,99,99.0
51,-10,211.783115721,99,99.0
22,1,212.566901353,99,99.0
55,99,213.350255148,99,99.0
44,3,214.534206599,TRUE,663.00633573
4,3,216.918407298,99,99.0
51,-10,217.701994001,99,99.0
24,3,218.485568422,99,99.0
55,99,219.269124328,99,99.0
41,0,220.453528241,TRUE,545.801370637
7,6,222.837207722,99,99.0
53,10,223.620847368,99,99.0
24,3,224.404456146,99,99.0
55,99,225.188103576,99,99.0
48,7,226.371944352,FALSE,729.660226614
5,4,228.756149776,99,99.0
54,99,229.53967574,99,99.0
54,99,230.323496388,99,99.0
55,99,231.10743042,99,99.0
46,5,232.290806847,FALSE,1830.09647159
6,5,234.675044847,99,99.0
53,10,235.458631099,99,99.0
22,1,236.242338943,99,99.0
55,99,237.025896428,99,99.0
37,6,237.809557999,TRUE,579.61278467
7,6,240.193688847,99,99.0
51,-10,240.977293565,99,99.0
21,0,241.761384184,99,99.0
55,99,242.544754879,99,99.0
33,2,243.328266217,FALSE,729.690123815
