code_event,myEvent,onsets,response,rt
5,4,0.00706196320243,99,99.0
54,99,0.788447641302,99,99.0
54,99,1.57104073989,99,99.0
55,99,2.35467880138,99,99.0
35,4,3.13848992472,true,1046.41316563
7,6,5.52362898097,99,99.0
53,10,6.30741760542,99,99.0
23,2,7.09083730064,99,99.0
55,99,7.87350515579,99,99.0
48,7,9.05828064727,false,561.999812955
6,5,11.442583459,99,99.0
51,-10,12.2259538437,99,99.0
23,2,13.0087239288,99,99.0
55,99,13.7922191175,99,99.0
44,3,14.9774394798,true,878.493469092
4,3,17.3603566394,99,99.0
53,10,18.1440304506,99,99.0
21,0,18.9286258406,99,99.0
55,99,19.711218912,99,99.0
38,7,20.4948520021,0,0.0
4,3,22.879056229,99,99.0
51,-10,23.6627459046,99,99.0
22,1,24.4475916303,99,99.0
55,99,25.2302327851,99,99.0
33,2,26.0136683327,true,846.387385973
5,4,28.3978001428,99,99.0
51,-10,29.181440508,99,99.0
22,1,29.9650255388,99,99.0
55,99,30.7486880691,99,99.0
42,1,31.9325555788,false,929.75337652
5,4,34.3168057116,99,99.0
53,10,35.1004182306,99,99.0
21,0,35.8842914341,99,99.0
55,99,36.6675673182,99,99.0
39,8,37.4523675528,false,711.920676287
4,3,39.8354711153,99,99.0
53,10,40.6191117993,99,99.0
23,2,41.4026934949,99,99.0
55,99,42.186254081,99,99.0
40,9,42.9710008758,false,1328.93143478
6,5,45.3597699708,99,99.0
51,-10,46.1377857864,99,99.0
24,3,46.9214381635,99,99.0
55,99,47.7051101823,99,99.0
36,5,48.4887319824,false,979.798853165
6,5,50.873105259,99,99.0
53,10,51.6566232655,99,99.0
22,1,52.4401371938,99,99.0
55,99,53.2239187115,99,99.0
49,8,54.4081776221,false,1829.54387623
7,6,56.7918381739,99,99.0
51,-10,57.5754594777,99,99.0
23,2,58.3591503564,99,99.0
55,99,59.1430245644,99,99.0
43,2,60.3265323327,false,1196.50337065
6,5,62.7107492029,99,99.0
51,-10,63.4942748874,99,99.0
23,2,64.2779258329,99,99.0
55,99,65.0620011291,99,99.0
44,3,66.2453795372,true,763.048152905
5,4,68.6296277392,99,99.0
51,-10,69.4133648848,99,99.0
23,2,70.1969628688,99,99.0
55,99,70.9804632574,99,99.0
36,5,71.7641061429,false,1963.50825753
4,3,74.1483058676,99,99.0
54,99,74.9318598162,99,99.0
54,99,75.7157860143,99,99.0
55,99,76.4992151139,99,99.0
47,6,77.6829519009,false,1796.80134065
6,5,80.0672131373,99,99.0
54,99,80.8508098311,99,99.0
54,99,81.634455664,99,99.0
55,99,82.4184430098,99,99.0
46,5,83.6018469422,0,0.0
6,5,85.9860580171,99,99.0
54,99,86.7699544262,99,99.0
54,99,87.5533712944,99,99.0
55,99,88.3369174628,99,99.0
36,5,89.1206738983,true,963.064651471
7,6,91.5049054358,99,99.0
54,99,92.2884219595,99,99.0
54,99,93.0721010099,99,99.0
55,99,93.8557930555,99,99.0
49,8,95.0394319253,false,713.088801247
5,4,97.4240262238,99,99.0
54,99,98.2072587402,99,99.0
54,99,98.9910355724,99,99.0
55,99,99.7747955476,99,99.0
47,6,100.95834312,false,629.702022998
7,6,103.342672382,99,99.0
51,-10,104.126131153,99,99.0
24,3,104.909769843,99,99.0
55,99,105.693383313,99,99.0
34,3,106.477519489,true,812.664731406
4,3,108.861400077,99,99.0
53,10,109.644931216,99,99.0
22,1,110.428651845,99,99.0
55,99,111.212121801,99,99.0
46,5,112.395969037,false,1029.83820357
5,4,114.780220557,99,99.0
53,10,115.563862588,99,99.0
22,1,116.347374333,99,99.0
55,99,117.131372398,99,99.0
36,5,117.914735327,0,0.0
7,6,120.298987318,99,99.0
53,10,121.082572963,99,99.0
22,1,121.866158553,99,99.0
55,99,122.649882947,99,99.0
48,7,123.833681663,true,1029.79711851
5,4,126.218240531,99,99.0
53,10,127.001370739,99,99.0
