code_event,myEvent,onsets,response,rt
2,DodgerBlue,0.00529871310573,99,99.0
11,L,0.106794364925,l,676.869491464
2,DodgerBlue,2.18936277705,99,99.0
12,T,2.97269065265,t,612.067446404
2,DodgerBlue,5.05717069149,99,99.0
12,T,5.75630644237,t,646.199681214
2,DodgerBlue,7.84186136787,99,99.0
10,L,8.50734689139,l,529.514257621
2,DodgerBlue,10.5924619085,99,99.0
12,T,11.1249328149,t,596.316320065
2,DodgerBlue,13.2101323912,99,99.0
10,L,13.8593662968,l,496.248750715
1,Orange,15.9446882366,99,99.0
11,L,16.4772450465,l,912.866835191
2,DodgerBlue,18.5624334047,99,99.0
10,L,19.0783524265,l,712.690340239
1,Orange,21.1633700575,99,99.0
11,L,21.9958148908,l,596.309453947
2,DodgerBlue,24.0813078796,99,99.0
12,T,24.5801753103,t,546.264048258
2,DodgerBlue,26.6652033804,99,99.0
10,L,27.2479793848,l,979.65965257
2,DodgerBlue,29.3331691176,99,99.0
10,L,29.9493875696,l,612.508882477
2,DodgerBlue,32.0340974182,99,99.0
10,L,32.5998762103,l,546.342216374
1,Orange,34.6850417265,99,99.0
13,T,34.7842684987,t,862.933681754
1,Orange,36.8692873507,99,99.0
11,L,37.4851667694,l,596.306380234
1,Orange,39.5704462281,99,99.0
11,L,40.2029052274,l,529.640566965
2,DodgerBlue,42.2884237379,99,99.0
12,T,43.1543954546,t,612.620012951
2,DodgerBlue,45.2394389563,99,99.0
12,T,45.7883748452,t,713.026408281
1,Orange,47.8737617592,99,99.0
11,L,47.9725773899,l,662.970295874
1,Orange,50.0580385833,99,99.0
13,T,50.6902892104,t,579.634339781
2,DodgerBlue,52.7756354659,99,99.0
12,T,53.4913002262,t,629.738403892
2,DodgerBlue,55.5766799763,99,99.0
10,L,56.242416281,l,746.451827406
2,DodgerBlue,58.3277393215,99,99.0
11,L,58.8768660038,l,696.286088263
1,Orange,60.9621161213,99,99.0
11,L,61.827994924,l,562.911812158
2,DodgerBlue,63.9130520496,99,99.0
11,L,64.5622702831,l,563.041886897
2,DodgerBlue,66.6474839796,99,99.0
10,L,67.2803471069,l,596.032594738
1,Orange,69.3652295715,99,99.0
11,L,70.1812356627,l,496.248849959
2,DodgerBlue,72.266338749,99,99.0
10,L,73.0489953638,l,479.599561193
2,DodgerBlue,75.1341998633,99,99.0
10,L,76.0002151589,l,512.841341842
1,Orange,78.0853699503,99,99.0
13,T,78.951234726,t,579.663726094
2,DodgerBlue,81.0364839322,99,99.0
12,T,81.1354874089,t,1029.781049
1,Orange,83.2204905588,99,99.0
13,T,83.8698779135,t,546.278806112
2,DodgerBlue,85.9551087889,99,99.0
13,T,86.053943806,t,679.778507329
1,Orange,88.1391838513,99,99.0
13,T,88.2381570213,t,846.45704506
2,DodgerBlue,90.3231754524,99,99.0
13,T,91.1562796609,t,629.384104279
2,DodgerBlue,93.2412124561,99,99.0
12,T,93.9903177092,t,546.409960487
2,DodgerBlue,96.0756276581,99,99.0
10,L,96.7915880535,l,529.552167223
2,DodgerBlue,98.8768919061,99,99.0
11,L,98.9756706347,l,713.060886366
2,DodgerBlue,101.060899456,99,99.0
12,T,101.793438295,t,1013.16671359
1,Orange,103.878805636,99,99.0
11,L,104.661156267,l,579.7253169
2,DodgerBlue,106.746400358,99,99.0
12,T,107.295527897,t,829.971250554
1,Orange,109.38071117,99,99.0
11,L,109.946547808,l,496.360061632
2,DodgerBlue,112.03220089,99,99.0
12,T,112.797729709,t,613.022904843
2,DodgerBlue,114.883078509,99,99.0
10,L,115.704198141,l,574.287665891
1,Orange,117.78400926,99,99.0
13,T,118.41683122,t,496.025425149
1,Orange,120.501847068,99,99.0
10,L,121.301203834,l,462.758234062
1,Orange,123.386229781,99,99.0
11,L,124.068930209,l,629.504395649
1,Orange,126.15406858,99,99.0
13,T,126.769872272,t,662.969631143
1,Orange,128.855072697,99,99.0
11,L,129.587563717,l,579.667563667
1,Orange,131.672791064,99,99.0
12,T,132.338665651,t,629.650744027
1,Orange,134.423883038,99,99.0
10,L,135.039882913,l,529.444399173
2,DodgerBlue,137.125159022,99,99.0
12,T,137.807411325,t,746.376215597
2,DodgerBlue,139.892811935,99,99.0
12,T,140.692172266,t,712.755741493
1,Orange,142.777136538,99,99.0
13,T,143.426547279,t,562.710354163
2,DodgerBlue,145.51207037,99,99.0
10,L,146.043939245,l,563.008900499
2,DodgerBlue,148.129144545,99,99.0
12,T,148.878722819,t,545.999661146
2,DodgerBlue,150.963666838,99,99.0
12,T,151.479495523,t,662.924951641
