code_event,myEvent,onsets,response,rt
1,Orange,0.00533806037856,99,99.0
13,T,0.690301542869,T,710.29801137
1,Orange,2.7729309533,99,99.0
11,L,3.6062102319,L,612.112113915
2,DodgerBlue,5.69066428585,99,99.0
10,L,6.37315239618,L,596.24376992
2,DodgerBlue,8.45824844798,99,99.0
10,L,8.55737897987,L,996.342198341
1,Orange,10.6425497502,99,99.0
11,L,11.3252366027,L,679.432027275
2,DodgerBlue,13.4102701856,99,99.0
13,T,14.0093505596,T,729.82572054
1,Orange,16.0946185507,99,99.0
13,T,16.9439329306,T,712.948661123
2,DodgerBlue,19.0290454906,99,99.0
10,L,19.845239924,L,546.027736214
2,DodgerBlue,21.9302578769,99,99.0
10,L,22.5793981196,L,662.974542414
1,Orange,24.6645609713,99,99.0
11,L,25.280421602,L,729.688884923
1,Orange,27.3656011933,99,99.0
11,L,27.9647938376,L,596.300509584
2,DodgerBlue,30.0500513114,99,99.0
10,L,30.8659352406,L,612.965383276
1,Orange,32.9510580232,99,99.0
13,T,33.5170504116,T,679.54716977
1,Orange,35.6020590561,99,99.0
11,L,36.3181106483,L,596.22570686
1,Orange,38.4030325442,99,99.0
11,L,38.5020988418,L,813.190810382
1,Orange,40.5873543367,99,99.0
11,L,40.6863182706,L,596.392647654
2,DodgerBlue,42.7716387307,99,99.0
12,T,43.5712517098,T,712.615684839
1,Orange,45.656012253,99,99.0
13,T,46.2386430759,T,696.246861364
2,DodgerBlue,48.3237656509,99,99.0
10,L,48.8228585997,L,629.685059714
2,DodgerBlue,50.9082755406,99,99.0
12,T,51.4073003302,T,696.275787544
2,DodgerBlue,53.4923244875,99,99.0
10,L,54.3083157757,L,579.70507635
2,DodgerBlue,56.3935106603,99,99.0
10,L,57.1594426903,L,579.642838973
2,DodgerBlue,59.2445901163,99,99.0
12,T,60.0772638691,T,562.955033092
2,DodgerBlue,62.1623776442,99,99.0
10,L,62.794968234,L,846.427712881
2,DodgerBlue,64.880012301,99,99.0
10,L,65.7628117149,L,612.973184732
1,Orange,67.8479296614,99,99.0
13,T,68.5642127655,T,645.984039817
1,Orange,70.6489340968,99,99.0
13,T,70.748134833,T,946.363661555
1,Orange,72.8333015612,99,99.0
13,T,73.4491266131,T,696.327889687
2,DodgerBlue,75.5342839369,99,99.0
13,T,76.3669977016,T,696.250686888
1,Orange,78.452041904,99,99.0
12,T,79.301481306,T,646.228096099
1,Orange,81.3867665061,99,99.0
13,T,81.902611483,T,646.112610819
2,DodgerBlue,83.9875437549,99,99.0
10,L,84.7380210937,L,595.110387309
1,Orange,86.8220070499,99,99.0
11,L,87.6880008508,L,829.744066345
2,DodgerBlue,89.773086229,99,99.0
12,T,90.5058050677,T,646.24751563
1,Orange,92.5909240036,99,99.0
13,T,93.4572071268,T,595.972516749
2,DodgerBlue,95.5420174773,99,99.0
10,L,96.3580913036,L,746.280558815
2,DodgerBlue,98.4431972772,99,99.0
10,L,99.2425551143,L,662.89591114
2,DodgerBlue,101.327707428,99,99.0
10,L,101.960385184,L,679.464042187
2,DodgerBlue,104.045487028,99,99.0
12,T,104.894959501,T,696.027373371
2,DodgerBlue,106.979856164,99,99.0
12,T,107.46234921,T,646.29279665
1,Orange,109.547684031,99,99.0
13,T,110.263662387,T,712.750724982
2,DodgerBlue,112.348686758,99,99.0
12,T,112.88110208,T,596.286232932
1,Orange,114.966275918,99,99.0
13,T,115.498759841,T,646.319975553
2,DodgerBlue,117.583946154,99,99.0
12,T,118.43899219,T,790.617252758
2,DodgerBlue,120.518593442,99,99.0
12,T,121.084422384,T,646.170812135
2,DodgerBlue,123.169537994,99,99.0
10,L,123.735376557,L,779.62885634
2,DodgerBlue,125.820778436,99,99.0
12,T,126.619946244,T,746.164508048
2,DodgerBlue,128.705310079,99,99.0
12,T,129.287671699,T,696.110464807
1,Orange,131.372721857,99,99.0
11,L,132.088703368,L,846.304621547
2,DodgerBlue,134.173926454,99,99.0
10,L,134.956370774,L,662.941089948
2,DodgerBlue,137.041473662,99,99.0
12,T,137.540731663,T,746.27104908
2,DodgerBlue,139.625937501,99,99.0
10,L,140.508603427,L,796.234557289
2,DodgerBlue,142.593982244,99,99.0
12,T,143.309969259,T,545.863547362
2,DodgerBlue,145.394980388,99,99.0
12,T,145.960617406,T,579.657130642
2,DodgerBlue,148.045802137,99,99.0
12,T,148.711701052,T,629.590193857
1,Orange,150.79704544,99,99.0
11,L,151.379425301,L,679.610808671
1,Orange,153.464708832,99,99.0
12,T,154.080746918,T,696.018816961
1,Orange,156.165921742,99,99.0
13,T,156.264685698,T,896.315458929
1,Orange,158.349818348,99,99.0
13,T,159.199118999,T,629.577589396
1,Orange,161.284344491,99,99.0
13,T,161.883611408,T,729.516290012
1,Orange,163.968763298,99,99.0
11,L,164.067646074,L,679.645130353
1,Orange,166.152851304,99,99.0
13,T,166.969249605,T,612.509772764
1,Orange,169.054029128,99,99.0
11,L,169.636773536,L,779.379106825
1,Orange,171.721752217,99,99.0
13,T,172.438044891,T,562.440114503
1,Orange,174.522936459,99,99.0
13,T,175.238750756,T,662.872205954
2,DodgerBlue,177.323922452,99,99.0
10,L,178.073290348,L,629.406636581
2,DodgerBlue,180.158596453,99,99.0
12,T,180.740910198,T,862.915137492
1,Orange,182.82606135,99,99.0
11,L,183.375309837,L,562.758215645
1,Orange,185.460435976,99,99.0
13,T,185.992763382,T,713.039205235
2,DodgerBlue,188.078320975,99,99.0
10,L,188.877239875,L,613.028796564
2,DodgerBlue,190.962890695,99,99.0
11,L,191.795483449,L,529.174932395
2,DodgerBlue,193.880244585,99,99.0
13,T,194.679507562,T,846.387060359
1,Orange,196.764965751,99,99.0
13,T,197.497376904,T,746.243046189
2,DodgerBlue,199.582600973,99,99.0
10,L,200.381604986,L,613.074489636
1,Orange,202.46705079,99,99.0
13,T,202.565957599,T,679.609602666
