code_event,myEvent,onsets,response,rt
1,Orange,0.00500893360004,99,99.0
12,T,0.84025582968,T,493.61052498
2,DodgerBlue,2.92267201981,99,99.0
11,L,3.50642680289,L,578.524481796
2,DodgerBlue,5.59036074433,99,99.0
13,T,6.18963833869,T,562.994500622
1,Orange,8.27471814392,99,99.0
12,T,8.37377911818,T,663.084111991
1,Orange,10.4589764448,99,99.0
13,T,11.241614843,T,629.688364977
1,Orange,13.3267519804,99,99.0
12,T,13.9441905367,T,661.500252609
1,Orange,16.0277858867,99,99.0
10,L,16.6602654514,L,546.435921337
2,DodgerBlue,18.7454982065,99,99.0
13,T,19.4618189797,T,729.381192708
2,DodgerBlue,21.5470316567,99,99.0
13,T,22.3125240279,T,529.702097585
2,DodgerBlue,24.3977448734,99,99.0
11,L,25.2470502097,L,563.042088412
1,Orange,27.3322731362,99,99.0
12,T,27.4311561622,T,646.452417248
1,Orange,29.5164407788,99,99.0
11,L,30.3989910597,L,479.732547246
2,DodgerBlue,32.48416423,99,99.0
11,L,33.3502480847,L,546.259660274
1,Orange,35.4353434989,99,99.0
10,L,35.5345426652,L,912.950792816
2,DodgerBlue,37.6194611386,99,99.0
13,T,38.4020842737,T,663.092839823
2,DodgerBlue,40.48725862,99,99.0
13,T,41.353243642,T,796.478156466
1,Orange,43.4383367614,99,99.0
10,L,44.1046411995,L,1112.94023279
1,Orange,46.1894744763,99,99.0
10,L,47.0058815075,L,562.605822226
2,DodgerBlue,49.0908459567,99,99.0
11,L,49.939962238,L,1313.28896177
2,DodgerBlue,52.025074759,99,99.0
13,T,52.6409901865,T,546.337142703
1,Orange,54.7264380386,99,99.0
12,T,55.3254329212,T,529.611640726
2,DodgerBlue,57.4104793581,99,99.0
13,T,58.2597777411,T,546.398667328
2,DodgerBlue,60.3450451638,99,99.0
11,L,61.1944672004,L,579.543582164
2,DodgerBlue,63.2809675904,99,99.0
13,T,63.9787084708,T,529.6929006
1,Orange,66.0638802186,99,99.0
10,L,66.829872901,L,729.723098339
2,DodgerBlue,68.9150117557,99,99.0
11,L,69.4145236925,L,862.784497323
1,Orange,71.4993004551,99,99.0
12,T,71.5983110175,T,646.432847308
1,Orange,73.6836565271,99,99.0
10,L,73.7825324974,L,813.395399193
1,Orange,75.8676706935,99,99.0
10,L,76.3669203635,L,546.288703801
1,Orange,78.4522032718,99,99.0
12,T,79.318022168,T,479.641675367
2,DodgerBlue,81.4031794226,99,99.0
11,L,82.2024322435,L,596.406166384
2,DodgerBlue,84.287837801,99,99.0
13,T,85.1369690748,T,563.004416355
2,DodgerBlue,87.2220240741,99,99.0
11,L,87.7380029694,L,529.618160974
1,Orange,89.8233122265,99,99.0
12,T,90.5557285189,T,546.330390847
1,Orange,92.6408491991,99,99.0
10,L,93.3904725498,L,596.037662355
1,Orange,95.4753302024,99,99.0
10,L,96.2245797497,L,529.678163817
1,Orange,98.3097739727,99,99.0
10,L,98.9757067548,L,512.944376154
2,DodgerBlue,101.060816975,99,99.0
11,L,101.876875722,L,512.901648472
1,Orange,103.962025,99,99.0
10,L,104.794618176,L,546.307795506
2,DodgerBlue,106.879666029,99,99.0
13,T,107.695689378,T,513.028520218
1,Orange,109.780876906,99,99.0
10,L,110.263396515,L,529.634212086
1,Orange,112.348509114,99,99.0
10,L,113.114489817,L,996.502988797
1,Orange,115.19955921,99,99.0
10,L,115.965803651,L,662.829622626
2,DodgerBlue,118.050689364,99,99.0
11,L,118.605349862,L,574.255840387
1,Orange,120.685144329,99,99.0
10,L,121.50133365,L,496.065058105
1,Orange,123.586309936,99,99.0
10,L,124.352426357,L,512.748503068
2,DodgerBlue,126.437378692,99,99.0
13,T,127.203313019,T,529.65256694
2,DodgerBlue,129.288500142,99,99.0
11,L,130.037774847,L,479.594036471
2,DodgerBlue,132.123056543,99,99.0
12,T,132.638728501,T,546.341834415
2,DodgerBlue,134.72442108,99,99.0
13,T,135.273272792,T,646.202676697
