,run,operand1,operator,operand2,preResult,delay,corrResult,deviant,absdeviant,rt,respSide
243,7,3,-1,1,5,1,2,3,3,1254,-1
244,7,4,0,33,2,1,4,-2,2,977,-1
245,7,4,-1,0,4,0,4,0,0,1027,1
246,7,3,-1,3,0,1,0,0,0,879,1
247,7,6,-1,2,4,0,4,0,0,1800,1
248,7,5,1,1,9,0,6,3,3,1002,-1
249,7,4,1,3,4,1,7,-3,3,687,-1
250,7,6,-1,0,6,0,6,0,0,902,1
251,7,4,1,2,6,1,6,0,0,970,1
252,7,4,1,1,9,1,5,4,4,943,-1
253,7,6,-1,1,5,1,5,0,0,965,-1
254,7,5,1,2,9,0,7,2,2,1063,-1
255,7,3,1,1,4,0,4,0,0,1515,1
256,7,3,1,3,2,0,6,-4,4,878,-1
257,7,4,-1,1,3,1,3,0,0,654,1
258,7,4,-1,3,3,0,1,2,2,790,-1
259,7,6,1,0,6,1,6,0,0,729,1
260,7,6,1,3,9,1,9,0,0,1463,1
261,8,5,1,2,9,1,7,2,2,905,-1
262,8,3,1,0,3,0,3,0,0,1311,1
263,8,5,-1,3,2,0,2,0,0,618,1
264,8,5,-1,2,3,1,3,0,0,987,1
265,8,5,0,33,3,1,5,-2,2,937,-1
266,8,6,1,3,8,0,9,-1,1,1513,-1
267,8,4,-1,3,1,0,1,0,0,717,1
268,8,3,1,3,6,0,6,0,0,959,1
269,8,4,-1,2,2,1,2,0,0,1494,1
270,8,3,-1,1,2,0,2,0,0,630,1
271,8,5,-1,0,1,1,5,-4,4,1355,-1
272,8,4,1,3,7,1,7,0,0,1059,-1
273,8,4,-1,1,3,1,3,0,0,882,1
274,8,6,1,0,7,1,6,1,1,1311,-1
275,8,3,0,33,4,1,3,1,1,886,-1
276,8,4,1,1,5,1,5,0,0,1680,1
277,8,5,1,1,6,0,6,0,0,708,1
278,8,6,0,33,3,1,6,-3,3,1739,-1
279,8,4,0,33,3,1,4,-1,1,675,-1
280,8,6,0,33,6,0,6,0,0,805,1
281,8,5,1,0,5,0,5,0,0,1023,1
282,8,4,-1,0,2,0,4,-2,2,826,-1
283,8,5,1,2,9,1,7,2,2,1537,-1
284,8,6,1,1,7,1,7,0,0,630,1
285,8,5,1,3,5,1,8,-3,3,1414,-1
286,8,3,-1,0,7,1,3,4,4,909,-1
287,8,4,1,0,4,0,4,0,0,521,-1
288,8,5,0,33,4,0,5,-1,1,656,-1
289,8,6,-1,1,2,0,5,-3,3,1737,-1
290,8,3,0,33,7,0,3,4,4,913,-1
291,9,3,1,3,6,0,6,0,0,1219,1
292,9,4,-1,1,3,0,3,0,0,776,1
293,9,4,-1,3,1,0,1,0,0,769,1
294,9,4,1,2,6,1,6,0,0,1763,-1
295,9,5,-1,1,4,0,4,0,0,695,1
296,9,5,-1,3,1,1,2,-1,1,573,-1
297,9,6,-1,2,4,1,4,0,0,1122,1
298,9,3,-1,3,0,1,0,0,0,774,1
299,9,3,1,3,6,0,6,0,0,1276,1
300,9,5,0,33,9,1,5,4,4,706,-1
301,9,3,1,1,4,1,4,0,0,972,1
302,9,3,1,2,7,0,5,2,2,1704,-1
303,9,5,0,33,5,1,5,0,0,657,1
304,9,6,1,1,7,0,7,0,0,781,1
305,9,4,1,3,3,1,7,-4,4,1217,-1
306,9,3,-1,0,5,0,3,2,2,1206,1
307,9,4,0,33,4,0,4,0,0,767,1
308,9,6,1,3,9,0,9,0,0,1642,1
309,9,3,1,0,7,0,3,4,4,1006,-1
310,9,6,0,33,6,0,6,0,0,1665,1
311,9,3,0,33,3,0,3,0,0,1437,1
312,9,5,1,3,8,0,8,0,0,963,1
313,9,5,1,1,2,0,6,-4,4,1739,-1
314,9,4,-1,2,4,1,2,2,2,874,-1
315,9,4,1,1,5,0,5,0,0,1269,1
316,9,6,-1,1,9,1,5,4,4,935,-1
317,9,5,-1,0,7,0,5,2,2,1262,-1
318,9,4,-1,1,3,0,3,0,0,1577,1
319,9,6,-1,0,6,1,6,0,0,977,1
320,9,3,-1,2,1,1,1,0,0,1344,1
321,9,4,0,33,7,0,4,3,3,1924,-1
322,9,3,0,33,3,1,3,0,0,1665,1
323,9,6,1,2,8,1,8,0,0,1336,1
324,9,6,1,0,4,1,6,-2,2,1267,-1
325,10,4,-1,0,5,0,4,1,1,1082,-1
326,10,6,0,33,6,0,6,0,0,568,1
327,10,3,1,1,4,1,4,0,0,1073,1
328,10,3,-1,1,2,1,2,0,0,798,1
329,10,6,-1,1,5,1,5,0,0,942,1
330,10,4,1,3,7,0,7,0,0,795,1
331,10,5,0,33,5,1,5,0,0,814,1
332,10,5,0,33,5,0,5,0,0,1234,1
333,10,4,0,33,5,1,4,1,1,779,-1
334,10,4,1,1,7,1,5,2,2,1214,-1
335,10,4,1,0,8,0,4,4,4,1185,-1
336,10,5,1,0,3,1,5,-2,2,777,-1
337,10,3,0,33,5,0,3,2,2,1863,-1
338,10,3,1,1,4,1,4,0,0,1133,-1
339,10,6,1,1,4,1,7,-3,3,1006,-1
340,10,5,-1,0,1,0,5,-4,4,1231,-1
341,10,3,-1,0,3,1,3,0,0,586,1
342,10,6,1,0,6,0,6,0,0,704,1
343,10,4,-1,2,2,0,2,0,0,815,1
344,10,4,1,2,4,0,6,-2,2,1142,-1
345,10,5,1,1,6,1,6,0,0,1181,1
346,10,6,-1,0,7,1,6,1,1,1175,1
347,10,6,0,33,9,0,6,3,3,1668,-1
348,10,3,-1,3,3,0,0,3,3,1417,-1
349,10,5,-1,3,2,1,2,0,0,898,1
350,10,5,-1,1,5,0,4,1,1,2044,-1
351,10,3,1,2,8,0,5,3,3,0,-1
352,10,3,1,3,4,0,6,-2,2,1169,-1
353,10,5,1,3,9,0,8,1,1,1668,-1
354,10,6,-1,3,7,1,3,4,4,1541,-1
355,10,3,0,33,2,0,3,-1,1,2115,-1
356,10,6,1,2,6,1,8,-2,2,1035,-1
357,10,5,1,2,7,0,7,0,0,1321,1
358,10,4,0,33,4,1,4,0,0,771,1
359,10,6,1,3,7,0,9,-2,2,1242,-1
360,10,3,1,0,3,1,3,0,0,1814,1
361,10,4,-1,1,3,0,3,0,0,932,1
