code_event,myEvent,onsets,response,rt
1,-6,0.0038338691229,99,99.0
12,L,0.607820530189,L,892.764562625
2,6,2.65220274951,99,99.0
13,L,3.25341148931,L,481.38780822
1,-6,5.3032406827,99,99.0
12,L,5.90439273114,L,314.686128404
1,-6,7.954317939,99,99.0
12,L,8.55532816588,L,381.539570284
1,-6,10.6054115591,99,99.0
10,T,11.2075872639,T,396.941692918
1,-6,13.2563541788,99,99.0
10,T,13.8574727416,T,347.999574966
1,-6,15.907245749,99,99.0
11,T,16.5143244676,T,825.742965448
1,-6,18.5582533216,99,99.0
10,T,19.1590172283,T,498.567007715
2,6,21.2092448161,99,99.0
11,T,21.8112149733,T,497.377439751
2,6,23.8602617991,99,99.0
11,T,24.4611480387,T,415.101721999
2,6,26.5112648243,99,99.0
11,T,27.1130110612,T,414.281564998
2,6,29.1624602813,99,99.0
13,L,29.7633559916,T,348.235588404
1,-6,31.8134619591,99,99.0
13,L,32.4153030285,L,580.73135186
2,6,34.4644559168,99,99.0
13,L,35.0660632253,L,380.932118744
2,6,37.1155924208,99,99.0
12,L,37.7162479763,L,715.335294255
2,6,39.7665811393,99,99.0
10,T,40.3680891553,T,581.023070146
2,6,42.4175101559,99,99.0
13,L,43.0186509774,L,398.081507883
2,6,45.0686488795,99,99.0
13,L,45.6701106703,L,364.290350233
1,-6,47.7196620129,99,99.0
12,L,48.3217704098,L,413.668131572
1,-6,50.3706635103,99,99.0
12,L,50.9718709629,L,381.23233628
2,6,53.0218042159,99,99.0
11,T,53.6228315975,T,431.297685835
1,-6,55.6726517774,99,99.0
10,T,56.2737732335,L,348.038699594
2,6,58.3236484327,99,99.0
10,T,58.9248506041,T,498.042776715
1,-6,60.974803105,99,99.0
12,L,61.5758503602,L,531.394075602
1,-6,63.6256292623,99,99.0
10,T,64.2274952609,T,464.08886218
1,-6,66.2766625279,99,99.0
12,L,66.8784424037,L,614.260306698
2,6,68.9277072671,99,99.0
11,T,69.5286486883,T,548.336837557
1,-6,71.5788644928,99,99.0
12,L,72.1814764984,L,363.137227134
1,-6,74.2297626645,99,99.0
12,L,74.831272073,L,481.06138641
2,6,76.8808476201,99,99.0
13,L,77.4823963305,L,547.659750329
1,-6,79.5317935058,99,99.0
10,T,80.1335521818,T,497.49711412
2,6,82.1829300309,99,99.0
10,T,82.7839917821,T,614.783813013
1,-6,84.8339916121,99,99.0
12,L,85.4358396408,L,663.984470651
2,6,87.4847736162,99,99.0
11,T,88.0861097116,T,664.72314531
2,6,90.1358167825,99,99.0
11,T,90.7376237168,T,480.853084009
1,-6,92.7868845802,99,99.0
13,L,93.3881202401,L,648.09109713
2,6,95.4379395208,99,99.0
13,L,96.0396264439,L,430.856182124
1,-6,98.0888783119,99,99.0
11,T,98.6910412228,T,547.176147462
2,6,100.74011514,99,99.0
13,L,101.341357119,L,431.167016155
1,-6,103.390948476,99,99.0
12,L,103.992588476,L,397.619041731
1,-6,106.041994054,99,99.0
10,T,106.643024236,T,464.941767743
1,-6,108.692999805,99,99.0
13,L,109.294361379,L,547.934232745
2,6,111.34393388,99,99.0
13,L,111.945632707,L,547.699368093
1,-6,113.994976941,99,99.0
10,T,114.59596065,T,531.703763758
1,-6,116.646040883,99,99.0
13,L,117.248023365,L,513.981238473
2,6,119.29729914,99,99.0
11,T,119.897845072,T,565.222432837
2,6,121.948362402,99,99.0
12,L,122.549581647,L,431.109461584
1,-6,124.599306682,99,99.0
12,L,125.201426456,L,446.960038273
2,6,127.250524081,99,99.0
11,T,127.851605691,T,481.149133178
1,-6,129.901317246,99,99.0
11,T,130.502868065,T,480.972797493
2,6,132.552174733,99,99.0
13,L,133.153695437,L,381.051811157
1,-6,135.203194028,99,99.0
12,L,135.804953697,L,430.845445255
2,6,137.854168867,99,99.0
10,T,138.456097037,T,547.421932337
1,-6,140.50518207,99,99.0
12,L,141.107071274,L,330.750938389
1,-6,143.156283332,99,99.0
12,L,143.757445432,L,514.806541381
2,6,145.80725095,99,99.0
13,L,146.409287579,L,530.633767834
2,6,148.458268544,99,99.0
11,T,149.059341293,T,514.919860871
2,6,151.109293499,99,99.0
11,T,151.711084969,T,414.16422138
1,-6,153.760286447,99,99.0
12,L,154.361682033,L,481.284795445
2,6,156.411314843,99,99.0
13,L,157.012917487,L,464.39141361
2,6,159.062363375,99,99.0
11,T,159.663826266,T,431.156832608
1,-6,161.713388445,99,99.0
12,L,162.315439387,L,463.911684463
2,6,164.364352601,99,99.0
10,T,164.965978093,T,531.069746939
1,-6,167.015396595,99,99.0
12,L,167.617056438,L,547.73730773
1,-6,169.666397108,99,99.0
13,L,170.267285763,L,615.193064325
1,-6,172.317547997,99,99.0
10,T,172.918899668,T,481.218194356
2,6,174.968480849,99,99.0
13,L,175.569359903,L,498.435450718
2,6,177.619590327,99,99.0
11,T,178.221475363,T,464.030197938
2,6,180.27072617,99,99.0
13,L,180.873114901,L,746.839140891
1,-6,182.9216078,99,99.0
11,T,183.522952365,T,647.969621234
2,6,185.572619634,99,99.0
13,L,186.216897413,L,405.058730394
2,6,188.256867667,99,99.0
11,T,188.858602963,T,447.769115679
2,6,190.907957462,99,99.0
11,T,191.50953145,T,447.732117493
1,-6,193.558936737,99,99.0
10,T,194.160601131,T,497.699061641
1,-6,196.210017747,99,99.0
12,L,196.811623275,L,380.988401012
